Altium Designer Pick and Place Locations
C:\Users\Shadow\Desktop\Repos\frm-mw-display\Project Outputs for Combined\AssemblyData\Pick and Place\Pick Place for ltk-mw-display(MAIN).txt

========================================================================================================================
File Design Information:

Date:       30/10/23
Time:       15:18
Revision:   7b611da51e4d80a422afe5d524f4894da2be3bbe
Variant:    MAIN
Units used: mil

Center-X(mil) Center-Y(mil) Comment              Description                                            Designator Footprint                            Layer    Rotation 
1576.244      2150.000      "BANANA 4MM RED"     "CONN BANANA SOCKET 4MM RED"                           P6         2382AA2C-2335-4562-94C7-3B9045982126 TopLayer 0        
2326.244      2150.000      "BANANA 4MM BLACK"   "CONN BANANA SOCKET 4MM BLACK"                         P7         2382AA2C-2335-4562-94C7-3B9045982126 TopLayer 0        
826.244       2150.000      "BANANA 4MM RED"     "CONN BANANA SOCKET 4MM RED"                           P4         2382AA2C-2335-4562-94C7-3B9045982126 TopLayer 0        
780.000       358.426       MPZ1608S102ATA00     "FER SMD CHIP 0603 800mA 1K@100MHz 300mOhm"            L2         FER_0603_1608                        TopLayer 0        
2304.016      500.000       L78M05ABDT-TR        "IC SMD LINEAR VOLTAGE REGULATOR 5V 500mA DPAK/TO-252" U5         4BDA507D-BB70-4009-B963-85AD90086B51 TopLayer 360      
2010.000      410.000       10uF                 "CAP SMD MLCC 10uF 25V 0805 X5R"                       C12        CAP_0805_2012                        TopLayer 180      
2010.000      590.000       10uF                 "CAP SMD MLCC 10uF 25V 0805 X5R"                       C11        CAP_0805_2012                        TopLayer 180      
1270.290      490.472       L78M05ABDT-TR        "IC SMD LINEAR VOLTAGE REGULATOR 5V 500mA DPAK/TO-252" U4         4BDA507D-BB70-4009-B963-85AD90086B51 TopLayer 180      
2406.694      931.103       LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U3B        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2406.693      1561.024      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U3A        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1576.693      921.101       LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U2B        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1576.693      1551.024      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U2A        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2634.331      2943.070      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1J        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2634.331      4045.432      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1I        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2634.331      5147.794      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1H        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2634.331      6250.158      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1G        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
2634.331      7352.520      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1F        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1650.079      2943.070      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1E        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1650.079      4045.432      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1D        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1650.079      5147.794      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1C        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1650.079      6250.158      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1B        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
1650.079      7352.520      LM324DT              "IC SMD OPAMP LM324DT SO-14"                           U1A        34355DA5-B1DA-47C2-A88A-ECF82120A4F7 TopLayer 0        
770.000       558.424       499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R32        RES_1206_3216                        TopLayer 270      
2606.694      801.104       1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R31B       RES_0603_1608                        TopLayer 90       
2606.694      1431.024      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R31A       RES_0603_1608                        TopLayer 90       
1766.693      921.102       100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R30B       RES_0603_1608                        TopLayer 270      
1766.694      1551.024      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R30A       RES_0603_1608                        TopLayer 270      
2136.693      931.103       1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R29B       RES_0603_1608                        TopLayer 270      
2136.694      1561.024      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R29A       RES_0603_1608                        TopLayer 270      
1246.694      1166.300      0                    "RES SMD 0 OHM 5% 1/10W 0603"                          R28B       RES_0603_1608                        TopLayer 90       
1246.694      1796.222      0                    "RES SMD 0 OHM 5% 1/10W 0603"                          R28A       RES_0603_1608                        TopLayer 90       
1766.693      791.103       10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R27B       RES_0603_1608                        TopLayer 270      
1766.694      1421.024      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R27A       RES_0603_1608                        TopLayer 270      
2066.693      1051.102      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R26B       RES_0603_1608                        TopLayer 270      
2066.694      1681.024      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R26A       RES_0603_1608                        TopLayer 270      
2134.757      1050.079      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R24B       RES_0603_1608                        TopLayer 270      
2134.755      1680.000      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R24A       RES_0603_1608                        TopLayer 270      
2196.694      781.103       1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R23B       RES_0603_1608                        TopLayer 180      
2196.693      1411.024      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R23A       RES_0603_1608                        TopLayer 180      
1996.693      1051.103      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R22B       RES_0603_1608                        TopLayer 90       
1996.694      1681.024      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R22A       RES_0603_1608                        TopLayer 90       
954.725       1063.465      "10K LIN"            "POT 10K 20% SHAFT 6mmx7.4mm LIN"                      R21B       2EF88547-EDEF-4A49-A522-C215618D4BC7 TopLayer 180      
954.725       1693.386      "10K LIN"            "POT 10K 20% SHAFT 6mmx7.4mm LIN"                      R21A       2EF88547-EDEF-4A49-A522-C215618D4BC7 TopLayer 180      
1846.694      921.102       100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R20B       RES_0603_1608                        TopLayer 90       
1846.694      1551.024      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R20A       RES_0603_1608                        TopLayer 90       
1316.692      1051.102      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R19B       RES_0603_1608                        TopLayer 90       
1316.694      1681.024      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R19A       RES_0603_1608                        TopLayer 90       
1926.694      1051.103      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R18B       RES_0603_1608                        TopLayer 90       
